name_SLR;name_Hunt;ra_SLR;ra_Hunt;dec_SLR;dec_Hunt;l_SLR;l_Hunt;b_SLR;b_Hunt;parallax_SLR;parallax_Hunt;pmra_SLR;pmra_Hunt;pmdec_SLR;pmdec_Hunt;nStars_SLR;n_stars_Hunt;r50_SLR;radius_50_pc_Hunt;dSun_SLR;distance_50_Hunt;X_SLR;x_Hunt;Y_SLR;y_Hunt;Z_SLR;z_Hunt;Age_SLR;log_age_50_Hunt;AV_SLR;a_v_50_Hunt;DM_SLR;distance_modulus_50_Hunt
S1700;Theia_2267;111.16788812562046;111.03348511718816;-26.20015865827516;-26.461977230443043;239.91408788361383;240.0914844991797;-4.945624749114284;-5.1582632365889385;0.3788562827287819;0.8068461052908025;-0.4513532431038667;-4.228300553051255;1.1624150223090195;3.9169741272077783;180;341;0.0894367539941294;10.934305519428886;1596.97;1163.8978183774943;-797.5773579962586;-8700.228708343817;-1376.6731879006743;-1004.8064425374846;-137.67524333409702;-82.36445052114854;8.352182518111363;7.6346330642700195;2.47;0.146583691239357;13.09;10.342368602752686
S1702;UBC_279;173.31783174349948;173.48414782158622;-66.07618793013367;-66.11084034382307;295.1749349134242;295.1877890773632;-4.422109745321515;-4.411246836798727;0.6330470964297902;0.630510039239241;-7.282638852418531;-7.300870898360081;2.086759067432235;2.0829943952784165;152;250;0.3631111886821612;6.749495622477912;1327.68;1497.944458472456;563.0917678731239;-7486.655243775222;-1197.99098622981;-1351.501504836777;-102.36913727118517;-96.042485892978;8.676693609624866;8.395262718200684;0.92;0.7663959264755249;11.39;10.88868284225464
S1288;NGC_1817;78.13773408683078;78.14102953837155;16.697460862707654;16.693184173201665;186.19544416786908;186.196521254768;-13.05005352448699;-13.031888217348104;0.5728757779005531;0.5727825904330628;0.4218582455299453;0.4304328759000094;-0.9379192990205122;-0.9317311105821394;462;718;0.2083338565828134;4.8590153590901375;1522.69;1636.455344246595;-1474.7002390839202;-9707.906080077504;-160.08507043792966;-172.0859840305821;-343.8267167756338;-344.1519620719235;9.096910013008056;9.123560428619385;0.9;0.3412216156721115;11.67;11.063037395477297
SL767;ASCC_13;78.20003821292178;78.22066966754788;44.37427510282282;44.36502692325036;163.54777783122526;163.52977737666689;3.0596300576579605;3.0716609847193688;0.8949715693435192;0.8815503613356596;-0.5646067394654573;-0.5482342651155996;-1.810807387626868;-1.809480144822608;56;117;0.1983647450282723;4.984161396865526;690.69;1076.1526456475694;-661.4663026969052;-9152.334541016462;195.33541220966657;304.67008893957563;36.86574607092228;81.10342370492992;8.439332693830263;7.945140361785889;1.0;0.6169288754463196;10.04;10.13825511932373
SL771;UBC_466;116.90252288017528;116.36232552353356;-27.194724701858476;-27.24478103839356;243.27814731427355;243.0797266259013;-0.9344807614317534;-1.3748796225797162;0.2079270464184185;0.1972836247368409;-2.323440985995098;-1.0237024738344185;3.449695031117509;2.9237183616954785;25;132;0.0150414406200144;4.424845175078133;1670.36;4279.502911958625;-750.9936783273548;-10059.221527637666;-1491.7670393246733;-3814.664297988717;-27.241973071870067;-76.92936006097699;9.096910013008056;8.6862473487854;0.0;1.477070689201355;11.11;13.177992820739746
SL773;Trumpler_11;151.25281664233373;151.2505231454316;-61.619247730881135;-61.61768675826797;284.4617671538002;284.46258183214644;-4.869719811576657;-4.867643220203476;0.2618623003423246;0.2590630291687898;-7.038888359457295;-7.045937392019213;3.3037815445963257;3.3367296849784185;59;153;0.0729111789525552;2.9924509460820765;2067.29;3398.2288228220505;514.4088340500692;-7277.078414096429;-1994.561031844964;-3278.674789916117;-175.49297933764032;-269.7224161200774;8.301029995663981;8.103588581085205;0.87;0.3713938891887665;12.3;12.81826877593994
SL777;ESO_275-01;238.7725015966502;238.78148659302468;-46.01099974594519;-46.01076680702369;333.034649502487;333.034703503888;5.852109325522171;5.84965171059329;0.6338493143668315;0.6246798138026841;-0.2450282189877224;-0.2579465908584695;-1.3857515739529749;-1.399039553009985;114;189;0.0650381165010334;1.511590857970622;688.8;1505.6872498990087;610.7148089127262;-6786.582717169906;-310.7096686158212;-679.2012002621143;70.23079099183558;170.83879085572448;9.243038048686294;8.094336032867432;0.0;1.5047176480293274;9.19;10.860724449157717
SL780;CWNU_2415;298.0514911324777;298.3793193321377;29.39434577815848;29.869142630386506;65.68623977221478;66.24067666785733;1.1792909738997823;1.1795880705896002;0.2772133571957788;0.1420102124730871;-2.4861192892711004;-2.733648780535169;-5.126246295114331;-5.272966687449332;83;132;0.0318588596320042;2.1348826598386457;1082.7;5335.280461432216;445.6891461948569;-5972.589094361736;986.4603073359914;4882.056751239412;22.28311052526511;125.13950415044091;9.176091259055681;8.774715423583984;0.58;3.5343927145004272;10.66;13.76425838470459
SL781;HSC_1284;73.4747009775175;72.94304216025918;40.86016695820141;40.85468202152617;164.17863104092143;163.93106630650186;-1.8351624855408972;-2.1463149733693947;0.3152331253181222;0.8700370225502257;0.4056228241525469;1.6352605668731173;-2.136806465706472;-5.770515995610664;23;105;0.0335776096749519;22.660649603180325;1646.01;1092.0734882927013;-1582.8409151243875;-9170.743613531677;448.536503323034;302.0679984034384;-52.71207352150902;-17.415132097138674;9.352182518111363;8.679750442504883;0.15;0.8057346940040588;11.21;10.15200662612915
S1703;NGC_7789;359.34660933901216;359.32861728196355;56.72439544421014;56.72375025374915;115.53180126159678;115.52365975087412;-5.366643875397493;-5.367486034318153;0.4811959970788125;0.4791431266476446;-0.9158466184875832;-0.9139513919543376;-1.9617911636444707;-1.9523704908439996;1934;4125;0.1941336467374526;4.538305767204742;1863.63;1968.5213836686544;-799.7259248467044;-8966.924988323424;1674.2681146288448;1768.620202360641;-174.30290406432542;-161.1773994270838;9.243038048686294;9.194950103759766;0.83;0.7791382074356079;12.05;11.46509885787964
